Postal Code,Place Name,State,State Abbreviation,Latitude,Longitude
055 51,Ve?ký Folkmar,Gelnica,KI,48.85,21.0167
055 52,Kojšov,Gelnica,KI,48.8167,21
055 61,Jaklovce,Gelnica,KI,48.8667,21
055 62,Prakovce,Gelnica,KI,48.8167,20.9
055 63,Helcmanovce,Gelnica,KI,48.8333,20.8667
055 64,Mníšek nad Hnilcom,Gelnica,KI,48.8,20.8
055 65,Smolnícka Huta,Gelnica,KI,48.75,20.7833
055 66,Smolník,Gelnica,KI,48.7333,20.75
055 71,Žakarovce,Gelnica,KI,48.8833,20.9333
056 01,Gelnica,Gelnica,KI,48.85,20.9333
040 01,Košice - Kave?any,Košice I,KI,48.7167,21.25
040 13,Košice - ?ahanovce,Košice I,KI,48.7167,21.25
040 11,Košice - Lorin?ík,Košice II,KI,48.7167,21.25
040 15,Košice - Po?ov,Košice II,KI,48.7167,21.25
040 16,Košice - Myslava,Košice II,KI,48.7167,21.25
044 54,Košice - Železiarne,Košice II,KI,48.7167,21.25
040 14,Košice - Košická Nová Ves,Košice III,KI,48.7097,21.2681
040 17,Košice - Barca,Košice IV,KI,48.7167,21.25
040 18,Košice - Krásna,Košice IV,KI,48.7167,21.25
044 01,Drienovec,Košice-okolie,KI,48.6167,20.95
044 02,Žarnov,Košice-okolie,KI,48.5833,20.9333
044 05,Janík,Košice-okolie,KI,48.55,20.9667
044 10,Ge?a,Košice-okolie,KI,48.6333,21.3167
044 11,Žda?a,Košice-okolie,KI,48.6,21.35
044 12,Hý?ov,Košice-okolie,KI,48.7333,21.1167
044 13,Koš?any,Košice-okolie,KI,48.6333,21.3
044 14,?a?a,Košice-okolie,KI,48.6,21.3333
044 15,Nižná Myš?a,Košice-okolie,KI,48.6167,21.3667
044 16,Bohdanovce,Košice-okolie,KI,48.65,21.4
044 17,Nový Salaš,Košice-okolie,KI,48.6167,21.4833
044 18,Kalša,Košice-okolie,KI,48.6167,21.5333
044 19,?urkov,Košice-okolie,KI,48.7,21.45
044 20,Baška,Košice-okolie,KI,48.7,21.1833
044 21,Šemša,Košice-okolie,KI,48.6833,21.1167
044 23,Jasov,Košice-okolie,KI,48.6833,20.9833
044 24,Popro?,Košice-okolie,KI,48.5833,20.0333
044 25,Nižný Medzev,Košice-okolie,KI,48.7167,20.9111
044 26,Štós,Košice-okolie,KI,48.7167,20.7833
044 31,Soko?,Košice-okolie,KI,48.8167,21.2167
044 32,Malá Lodina,Košice-okolie,KI,48.8833,21.1333
044 41,Sady nad Torysou,Košice-okolie,KI,48.7,21.3417
044 42,Hrašovík,Košice-okolie,KI,48.75,21.3167
044 43,Vajkovce,Košice-okolie,KI,48.7833,21.3333
044 44,Chrastné,Košice-okolie,KI,48.8,21.35
044 45,?ur?ošík,Košice-okolie,KI,48.7562,21.4646
044 46,Vyšná Kamenica,Košice-okolie,KI,48.7833,21.4833
044 47,Vtá?kovce,Košice-okolie,KI,48.85,21.3833
044 55,Gomboš,Košice-okolie,KI,48.6,21.1667
