Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
74100,Taranto,Puglia,PU,Taranto,40.4692,17.24
92100,Borgo La Loggia,Sicilia,SC,Agrigento,37.3171,13.5724
93100,Caltanissetta,Sicilia,SC,Caltanissetta,37.49,14.0632
95100,Catania,Sicilia,SC,Catania,37.5021,15.0872
95121,San Teodoro,Sicilia,SC,Catania,37.85,14.7
95122,Acquicella,Sicilia,SC,Catania,37.5021,15.0872
95123,Catania,Sicilia,SC,Catania,37.5021,15.0872
95124,Catania,Sicilia,SC,Catania,37.5021,15.0872
95125,Canalicchio,Sicilia,SC,Catania,37.5021,15.0872
95126,Catania,Sicilia,SC,Catania,37.5021,15.0872
95127,Catania,Sicilia,SC,Catania,37.5021,15.0872
95128,Catania,Sicilia,SC,Catania,37.5021,15.0872
95129,Catania,Sicilia,SC,Catania,37.5021,15.0872
