Postal Codes,Place Name,State,Latitude,Longitude
50511,Kirigalwewa,AD,8.5595,80.5476
50512,Pihimbiyagolewa,AD,8.5595,80.5476
50514,Rathmalgahawewa,AD,8.5595,80.5476
50516,Walahaviddawewa,AD,8.5595,80.5476
50518,Etaweeragollewa,AD,8.5595,80.5476
50552,Halmillawetiya,AD,8.35,80.2667
50554,Gonahaddenawa,AD,8.5333,80.5083
50556,Kalawedi Ulpotha,AD,8.5333,80.5083
50558,Tittagonewa,AD,8.7167,80.75
50562,Kahatagollewa,AD,8.45,80.65
50564,Wahalkada,AD,8.5667,80.6222
50566,Bogahawewa,AD,8.3167,80.2333
50567,Pulmoddai,AD,8.9333,80.9833
50570,Padaviya,AD,8.5595,80.5476
50572,Padavi Maithripura,AD,8.5595,80.5476
50574,Mahasenpura,AD,8.5595,80.5476
50582,Padavi Parakramapura,AD,8.5595,80.5476
50584,Etawatunuwewa,AD,8.5595,80.5476
50586,Welioya Project,AD,8.5595,80.5476
50587,Padavi Sripura,AD,8.5595,80.5476
50588,Padavi Sritissapura,AD,8.5595,80.5476
32000,Ampara,APR,7.2833,81.6667
32006,Deegawapiya,APR,7.2833,81.6667
32008,Digamadulla Weeragoda,APR,7.2833,81.6667
32010,Hingurana,APR,6.9167,80.4167
32012,Moragahapallama,APR,7.3792,80.4982
32014,Damana,APR,7.8417,80.5797
32016,Madawalalanda,APR,7.3792,80.4982
32018,Mahanagapura,APR,7.3792,80.4982
32022,Pannalagama,APR,7.0667,81.6167
32024,Bakmitiyawa,APR,7.0167,81.65
32031,Paragahakele,APR,7.25,81.6
32032,Polwaga Janapadaya,APR,7.1889,81.5778
32034,Pahalalanda,APR,7.1889,81.5778
32035,Koknahara,APR,7.1833,81.5667
32037,Namaloya,APR,7.1889,81.5778
32038,Devalahinda,APR,7.1889,81.5778
32039,Wadinagala,APR,7.1333,81.5667
32046,Dadayamtalawa,APR,7.65,79.9667
32048,Siyambalawewa,APR,7.65,79.9667
32050,Central Camp,APR,7.3589,81.1759
32060,Uhana,APR,7.3667,81.6333
32062,Werunketagoda,APR,7.5458,81.125
32064,Gonagolla,APR,7.45,81.6333
32066,Galapitagala,APR,8.0833,80.6667
32068,Rajagalatenna,APR,7.5458,81.125
32069,Mangalagama,APR,7.2833,80.5667
32070,Mahaoya,APR,7.5,81.3333
32072,Tempitiya,APR,7.5,81.3333
32074,Kekirihena,APR,7.5,81.3333
32100,Padiyatalawa,APR,7.4,81.2333
32101,Serankada,APR,7.45,81.2833
32102,Kolamanthalawa,APR,7.4,81.2722
32104,Dorakumbura,APR,7.35,81.3
32120,Nawamedagama,APR,7.2125,81.0583
32126,Damanewela,APR,7.2125,81.0583
32150,Dehiattakandiya,APR,7.2125,81.0583
32155,Siripura,APR,7.2125,81.0583
