Postal Code,Place Name,State,State Abbreviation,City,Latitude,Longitude
3690,Zutendaal,Vlaanderen,VLG,Limburg,50.9333,5.5667
3700,Tongeren 's Herenelderen,Vlaanderen,VLG,Limburg,50.7708,5.4681
3717,Herstappe,Vlaanderen,VLG,Limburg,50.7333,5.4167
3720,Kortessem,Vlaanderen,VLG,Limburg,50.8667,5.3667
3721,Kortessem,Vlaanderen,VLG,Limburg,50.8667,5.3667
3722,Kortessem,Vlaanderen,VLG,Limburg,50.8667,5.3667
3723,Kortessem,Vlaanderen,VLG,Limburg,50.8667,5.3667
3724,Kortessem,Vlaanderen,VLG,Limburg,50.8667,5.3667
3730,Hoeselt Romershoven,Vlaanderen,VLG,Limburg,50.85,5.4667
3732,Hoeselt Schalkhoven,Vlaanderen,VLG,Limburg,50.8333,5.4333
3740,"Bilzen Mopertingen, Rosmeer",Vlaanderen,VLG,Limburg,50.8646,5.5375
3742,Bilzen Martenslinde,Vlaanderen,VLG,Limburg,50.85,5.5333
3746,Bilzen Hoelbeek,Vlaanderen,VLG,Limburg,50.8667,5.55
3770,"Riemst, Heukelom",Vlaanderen,VLG,Limburg,50.805,5.5867
3790,Voeren,Vlaanderen,VLG,Limburg,50.75,5.7667
3791,Voeren,Vlaanderen,VLG,Limburg,50.7333,5.8833
3792,Voeren Sint-Pieters-Voeren,Vlaanderen,VLG,Limburg,50.7333,5.8167
3793,Voeren,Vlaanderen,VLG,Limburg,50.75,5.8667
3798,Voeren 's Gravenvoeren,Vlaanderen,VLG,Limburg,50.7667,5.7667
