Postal Code,Place Name,State,County,City,Latitude,Longitude
2423,Deutsch Jahrndorf,Burgenland,Politischer Bezirk Neusiedl am See,Deutsch Jahrndorf,48.0167,17.1
2424,Zurndorf,Burgenland,Politischer Bezirk Neusiedl am See,Zurndorf,47.9831,17.0031
2425,Nickelsdorf,Burgenland,Politischer Bezirk Neusiedl am See,Nickelsdorf,47.9406,17.0694
2431,Enzersdorf an der Fischa,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Enzersdorf an der Fischa,48.0833,16.6
2432,Schwadorf,Niederösterreich,Politischer Bezirk Wien Umgebung,Schwadorf,48.0784,16.5719
2433,Enzersdorf an der Fischa,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Enzersdorf an der Fischa,48.0833,16.6
2434,Pischelsdorf,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Götzendorf an der Leitha,47.9889,16.6111
2435,Pischelsdorf,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Götzendorf an der Leitha,48.0404,16.5508
2440,Reisenberg,Niederösterreich,Politischer Bezirk Baden,Reisenberg,48,16.5167
2441,Mitterndorf an der Fischa,Niederösterreich,Politischer Bezirk Baden,Mitterndorf an der Fischa,47.9833,16.4667
2442,Ebreichsdorf,Niederösterreich,Politischer Bezirk Baden,Ebreichsdorf,47.95,16.4
2443,Stotzing,Burgenland,Politischer Bezirk Eisenstadt,Stotzing,47.9,16.55
2444,Seibersdorf,Niederösterreich,Politischer Bezirk Baden,Seibersdorf,47.9545,16.4955
2451,Au am Leithaberge,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Au am Leithaberge,47.9167,16.55
2452,Reisenberg,Niederösterreich,Politischer Bezirk Baden,Reisenberg,48,16.5167
2453,Sommerein,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Sommerein,47.9833,16.65
2454,Sarasdorf,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Trautmannsdorf an der Leitha,48.0167,16.6667
2460,Bruckneudorf,Burgenland,Politischer Bezirk Neusiedl am See,Bruckneudorf,48.0167,16.7833
2462,Bruckneudorf,Burgenland,Politischer Bezirk Neusiedl am See,Bruckneudorf,48.0167,16.7833
2463,Stixneusiedl,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Trautmannsdorf an der Leitha,48.0333,16.6667
2464,Göttlesbrunn-Arbesthal,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Göttlesbrunn-Arbesthal,48.0583,16.7167
2465,Höflein,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Höflein,47.7833,16.0167
2471,Parndorf,Burgenland,Politischer Bezirk Neusiedl am See,Parndorf,47.9996,16.8605
2472,Prellenkirchen,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Prellenkirchen,48.0667,16.95
2473,Potzneusiedl,Burgenland,Politischer Bezirk Neusiedl am See,Potzneusiedl,48.0333,16.9333
2474,Gattendorf,Burgenland,Politischer Bezirk Neusiedl am See,Gattendorf,48.0167,16.9833
2475,Neudorf,Burgenland,Politischer Bezirk Neusiedl am See,Neudorf,48.0167,16.9333
2481,Achau,Niederösterreich,Politischer Bezirk Mödling,Achau,48.0803,16.3861
2482,Münchendorf,Niederösterreich,Politischer Bezirk Mödling,Münchendorf,48.0333,16.3833
2483,Ebreichsdorf,Niederösterreich,Politischer Bezirk Baden,Ebreichsdorf,47.95,16.4
2485,Wimpassing an der Leitha,Burgenland,Politischer Bezirk Eisenstadt,Wimpassing an der Leitha,47.9167,16.4333
2486,Landegg,Niederösterreich,Politischer Bezirk Baden,Pottendorf,47.9,16.4
2490,Ebenfurth,Niederösterreich,Politischer Bezirk Wiener Neustadt,Ebenfurth,47.8667,16.3667
2491,Hornstein,Burgenland,Politischer Bezirk Eisenstadt,Hornstein,47.8667,16.4333
2492,Zillingdorf,Niederösterreich,Politischer Bezirk Wiener Neustadt,Zillingdorf,47.85,16.3333
2493,Eggendorf,Niederösterreich,Politischer Bezirk Wiener Neustadt,Eggendorf,47.85,16.3167
2500,Alland,Niederösterreich,Politischer Bezirk Baden,Alland,48.0583,16.079
2511,Pfaffstätten,Niederösterreich,Politischer Bezirk Baden,Pfaffstätten,48.0174,16.2635
2512,Traiskirchen,Niederösterreich,Politischer Bezirk Baden,Traiskirchen,48.0148,16.2932
2514,Möllersdorf,Niederösterreich,Politischer Bezirk Baden,Traiskirchen,48.0258,16.3051
2521,Trumau,Niederösterreich,Politischer Bezirk Baden,Trumau,47.9935,16.3427
2522,Oberwaltersdorf,Niederösterreich,Politischer Bezirk Baden,Oberwaltersdorf,47.9757,16.3219
2523,Tattendorf,Niederösterreich,Politischer Bezirk Baden,Tattendorf,47.95,16.3
2524,Teesdorf,Niederösterreich,Politischer Bezirk Baden,Teesdorf,47.95,16.2833
2525,Schönau an der Triesting,Niederösterreich,Politischer Bezirk Baden,Schönau an der Triesting,47.9345,16.2538
2531,Gaaden,Niederösterreich,Politischer Bezirk Mödling,Gaaden,48.0526,16.218
2532,Alland,Niederösterreich,Politischer Bezirk Baden,Alland,48.0583,16.079
2533,Klausen-Leopoldsdorf,Niederösterreich,Politischer Bezirk Baden,Klausen-Leopoldsdorf,48.0877,16.0169
2534,Heiligenkreuz,Niederösterreich,Politischer Bezirk Baden,Heiligenkreuz,48.0426,16.1529
2540,Heiligenkreuz,Niederösterreich,Politischer Bezirk Baden,Heiligenkreuz,48.0426,16.1529
2542,Leobersdorf,Niederösterreich,Politischer Bezirk Baden,Leobersdorf,47.928,16.2165
