Postal Code,Place Name,State,County,Latitude,Longitude
8464,Sintjohannesga,Provincie Friesland,Gemeente Skarsterlân,52.9316,5.8559
8465,Oudehaske,Provincie Friesland,Gemeente Skarsterlân,52.9571,5.8709
8467,Vegelinsoord,Provincie Friesland,Gemeente Skarsterlân,52.9999,5.8647
8468,Haskerdijken,Provincie Friesland,Gemeente Skarsterlân,52.993,5.8785
8500,Joure,Provincie Friesland,Gemeente Skarsterlân,52.9657,5.803
8501,Joure,Provincie Friesland,Gemeente Skarsterlân,52.9657,5.803
8502,Joure,Provincie Friesland,Gemeente Skarsterlân,52.9657,5.803
8503,Joure,Provincie Friesland,Gemeente Skarsterlân,52.9657,5.803
8505,Snikzwaag,Provincie Friesland,Gemeente Skarsterlân,52.9839,5.7886
8506,Haskerhorne,Provincie Friesland,Gemeente Skarsterlân,52.9535,5.8294
8511,Goïngarijp,Provincie Friesland,Gemeente Skarsterlân,53.0117,5.7715
8513,Ouwsterhaule,Provincie Friesland,Gemeente Skarsterlân,52.9382,5.8136
8514,Ouwster-Nijega,Provincie Friesland,Gemeente Skarsterlân,52.9301,5.8047
8515,Oldeouwer,Provincie Friesland,Gemeente Skarsterlân,52.9167,5.8
8516,Doniaga,Provincie Friesland,Gemeente Skarsterlân,52.9075,5.7479
8517,Scharsterbrug,Provincie Friesland,Gemeente Skarsterlân,52.9441,5.7789
8520,Sint Nicolaasga,Provincie Friesland,Gemeente Skarsterlân,52.9229,5.7424
8521,Sint Nicolaasga,Provincie Friesland,Gemeente Skarsterlân,52.9229,5.7424
8523,Idskenhuizen,Provincie Friesland,Gemeente Skarsterlân,52.9288,5.7132
8524,Teroele,Provincie Friesland,Gemeente Skarsterlân,52.9353,5.6931
8525,Langweer,Provincie Friesland,Gemeente Skarsterlân,52.9584,5.7217
8526,Boornzwaag,Provincie Friesland,Gemeente Skarsterlân,52.9589,5.7443
8527,Legemeer,Provincie Friesland,Gemeente Skarsterlân,52.9407,5.7287
8528,Dijken,Provincie Friesland,Gemeente Skarsterlân,52.9509,5.7094
8541,Akmarijp,Provincie Friesland,Gemeente Skarsterlân,53.0033,5.7889
